City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Thurso,GB,58.59,-3.53,13.0,93,100,4.6,light rain
84,Ambon,ID,-3.7,128.18,26.11,14,95,0.45,moderate rain
85,Arrecife,ES,28.96,-13.55,23.0,73,75,5.7,broken clouds
86,Nemuro,JP,43.32,145.57,18.14,92,8,4.44,clear sky
87,Strezhevoy,RU,60.73,77.59,9.0,100,75,2.0,fog
88,Chokurdakh,RU,70.63,147.92,8.19,77,89,4.06,overcast clouds
89,Longyearbyen,SJ,78.22,15.64,9.0,87,20,2.6,few clouds
90,Khatanga,RU,71.97,102.5,18.22,50,21,5.34,few clouds
91,Carnarvon,AU,-24.87,113.63,15.0,100,0,4.1,clear sky
92,Ponta Do Sol,PT,32.67,-17.1,21.0,64,40,4.1,scattered clouds
93,Stutterheim,ZA,-32.57,27.42,6.53,82,30,1.46,scattered clouds
94,Dauphin,CA,51.15,-100.05,30.0,55,1,3.1,clear sky
95,Ajdabiya,LY,30.76,20.23,23.87,76,0,4.62,clear sky
96,Hofn,IS,64.25,-15.21,11.09,88,91,5.44,overcast clouds
97,Kaitangata,NZ,-46.28,169.85,11.11,72,99,1.34,overcast clouds
98,San Rafael Del Sur,NI,11.85,-86.44,33.0,52,20,5.1,few clouds
99,Kapit,MY,2.02,112.93,22.91,95,100,0.85,overcast clouds
100,West Wendover,US,40.74,-114.07,37.0,12,1,3.6,clear sky
101,Casper,US,42.87,-106.31,30.0,22,20,6.7,few clouds
102,Koson,UZ,39.04,65.58,27.0,30,58,1.0,broken clouds
103,Cherskiy,RU,68.75,161.3,8.47,71,96,4.58,overcast clouds
104,Shelby,US,35.2,-89.87,31.11,70,75,5.7,broken clouds
105,Bud,US,39.45,-86.18,21.67,94,90,4.84,overcast clouds
106,Barrow,US,71.29,-156.79,3.0,93,90,4.1,light rain
107,Nicoya,CR,10.15,-85.45,32.0,55,41,5.7,scattered clouds
108,Bandarbeyla,SO,9.49,50.81,26.08,76,14,12.34,few clouds
109,Souillac,MU,-20.52,57.52,22.0,83,75,2.1,shower rain
110,Pevek,RU,69.7,170.31,2.52,96,100,3.84,light rain
111,Taltal,CL,-25.4,-70.48,15.56,59,13,2.73,few clouds
112,Fort Nelson,CA,58.81,-122.7,26.0,36,20,3.1,few clouds
113,Lata,PT,40.16,-8.33,18.89,86,2,1.13,clear sky
114,Grand Gaube,MU,-20.01,57.66,20.0,84,1,1.34,clear sky
115,Thompson,CA,55.74,-97.86,19.0,93,90,4.6,thunderstorm with rain
116,Kirkland Lake,CA,48.14,-80.04,23.0,69,75,3.1,broken clouds
117,Kodiak,US,57.79,-152.41,16.0,67,20,7.2,few clouds
118,Urrao,CO,6.32,-76.13,19.0,93,40,2.6,shower rain
119,Cidreira,BR,-30.18,-50.21,13.22,77,0,6.35,clear sky
120,Quebo,GW,11.33,-14.93,23.7,95,96,2.03,moderate rain
121,Alofi,NU,-19.06,-169.92,24.0,57,29,7.2,scattered clouds
122,Qaqortoq,GL,60.72,-46.03,8.0,87,100,3.6,light rain
123,Fatehpur,IN,25.93,80.8,27.83,80,80,3.12,light rain
124,Isla Vista,US,34.41,-119.86,32.22,56,1,3.6,clear sky
125,Komsomolskiy,UZ,40.43,71.72,25.0,50,34,1.0,scattered clouds
126,Pisco,PE,-13.7,-76.22,18.0,68,6,5.1,clear sky
127,Acapulco,MX,16.86,-99.89,31.0,74,40,2.1,scattered clouds
128,Okha,RU,53.57,142.95,15.27,79,53,4.59,broken clouds
129,San Jeronimo,PE,-11.95,-75.28,13.25,51,15,2.72,few clouds
130,Tagab,AF,34.85,69.65,26.0,44,1,3.6,clear sky
