City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
185,Razdolnoye,RU,22.0,overcast clouds,43.55,131.92,"Baza Otdykha ""Lesnaya"""
186,Esna,EG,36.47,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
187,Noumea,NC,24.44,light rain,-22.28,166.46,Hôtel Le Lagon
188,Ambunti,PG,26.38,light rain,-4.24,142.84,Ambunti Lodge
189,Najran,SA,28.0,scattered clouds,17.49,44.13,محمد هادي ال فطيح
191,Hasaki,JP,22.78,light intensity shower rain,35.73,140.83,Inubosaki Kanko Hotel
192,Fukue,JP,27.5,overcast clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
193,Waingapu,ID,21.76,clear sky,-9.66,120.26,Pondok Wisata Elim
194,Nagua,DO,26.0,light rain,19.38,-69.85,Hotel Cambri
196,Nishihara,JP,30.0,scattered clouds,26.18,127.76,Minshuku Agaihama
197,Sarankhola,BD,26.87,light rain,22.31,89.79,ইসা ষ্টোর
201,Portland,US,35.56,clear sky,45.52,-122.68,Portland Marriott City Center
203,Shache,CN,21.15,clear sky,38.42,77.24,Delong Hotel
206,Mehran,IR,37.65,clear sky,33.12,46.16,بوتیک زنانه بهار
207,Sudbury,CA,24.0,broken clouds,46.49,-80.99,Travelway Inn Sudbury
210,Martorell,ES,27.78,few clouds,41.47,1.93,ibis budget Barcelona Sant Andreu de la Barca
212,Naze,JP,29.0,scattered clouds,28.37,129.48,奄美ポートタワーホテル
213,Shimoda,JP,21.67,clear sky,34.67,138.95,Shimoda Tokyu Hotel
215,Morehead,US,27.78,broken clouds,37.27,-87.18,CCI Express Inn
216,Port Hardy,CA,22.0,clear sky,50.7,-127.42,Airport Inn
220,Avarua,CK,22.0,overcast clouds,-21.21,-159.78,Paradise Inn
221,Shieli,KZ,23.69,few clouds,44.17,66.75,Gostinitsa Aybek Shieli
222,Altea,ES,27.78,scattered clouds,38.6,-0.05,Albir Playa Hotel & Spa
226,Carutapera,BR,24.35,light rain,-1.2,-46.02,Lidera
228,Bathsheba,BB,29.0,scattered clouds,13.22,-59.52,Atlantis Hotel
231,Ca Mau,VN,26.17,light rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
232,Kuala Lipis,MY,23.13,overcast clouds,4.18,102.05,Lipis Centrepoint Hotel
233,Blind River,CA,25.0,clear sky,46.18,-82.96,Auberge Eldo Inn
235,Velventos,GR,27.78,clear sky,40.25,22.06,9 Μούσες Ξενώνας
236,San Cristobal,VE,31.0,scattered clouds,7.77,-72.22,Pirineos
238,Axim,GH,23.35,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
239,Awbari,LY,29.72,clear sky,26.59,12.78,فندق أوباري
241,Jonesboro,US,33.33,scattered clouds,35.84,-90.7,Hilton Garden Inn Jonesboro
243,Fort Saint James,CA,29.99,few clouds,54.43,-124.25,The View Hotel
247,Compostela,PH,25.42,overcast clouds,7.67,126.09,Cocos hotel
250,Aksu,CN,23.89,broken clouds,41.12,80.26,Pudong Holiday Hotel
251,Quatre Cocos,MU,22.0,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
252,Seoul,KR,25.0,few clouds,37.57,126.98,LOTTE HOTEL SEOUL
258,Pacific Grove,US,22.78,clear sky,36.62,-121.92,Lovers Point Inn
259,Landerneau,FR,23.0,clear sky,48.45,-4.25,Le Clos Du Pontic
